Event_ID,Line,Station,TS,Part_No,Torque,Temp,Defect,VIN,Supplier,Work_Order,Tool_ID,Inspection_Source,Scrap_Reason,Energy_kWh,Pressure,Warranty_Claim,Plan_Production
EVT-00946,GA-1, STN-01 ,2025-05-13 05:34:14,789-ghi,41.4,186.3F,None,SppDFE 1GUDZ2S zDS 7,sup-11,WO-2025227,T-101, MANUAL ,S3,2.94 kWh,39.9 PSI,No,115
EVT-00947, GA-2 ,STN-02  ,06-09-2025 13:12:27,202-mno,52.6 Nm,210.6F,Reject,N42 XC7LLC E0X JUY3E,SUP-02,WO-2025241,T-102, vision ,S1,3.16 kWh,44.7 psi,Y,111
EVT-00948,  GA-2,  STN-05,16-09-2025 13:09:36,303-PQR,60.7,97.0 C,None,KA2 DLVBLLE4A3F 77T,SUP-09,WO-2025078,T-105,Camera,S1,4.6,38.7 psi,Yes,108
EVT-00949,GA-1  ,  STN-03,2025/11/19 06:43:29,101-JKL,43.0,84.3C,None,RNGX23YREJP3L26ZB,Sup-11,WO-2025258,T-103,Sensor,S2,3.17,36.6 psi,No,123
EVT-00950,  GA-2,  STN-09,2025-07-20 10:09:40,456-def,61.5,93.1 C,None,A 1RY99DBK4ERBP127,SUP-05,WO-2025082,T-109,operator,S3,2.4 kWh,49.9,No,109
EVT-00951, GA-2 ,STN-03  ,2025-06-25 14:56,202MNO,42.3,214.0F,None,0 M4HY 5ZCTHZSNTM32,SUP-05,WO-2025040,T-103,camera,S1,4.37 kWh,50.0,No,109
EVT-00952,  GA-2,STN-03,2025-05-10 19:99,303-PQR,58.0,214.3F,None,616N9 TT7U30C W4VLC,sup-09,WO-2025006,T-103,Manual,,3.1 kWh,37.0,No,106
EVT-00953, GA-3 , STN-03 ,2025-07-20 11:15,101-JKL,57.0 Nm,214.3F,OK,GB7j42j1VZ50 cERWX,SUP-05,WO 2025099,T-103,probe,,3.51 kWh,46.8,No,110
EVT-00954,  GA-2,  STN-01,2025-04-24 20:40,303-PQR,61.1 Nm,78.3C, None,1 8VGBYR71 TB1FG24V,SUP-11,WO 2025231,T-101,sensor,,3.47,36.3 PSI,No,109
EVT-00955, GA-1 ,STN-09  ,2025-09-14 19:32:48,101-JKL,76.4,83.3C,None,YHSHMYFB7C10ZTRJ4,sup-05,WO-2025230,t-109,Sensor,,2.1,53.3 psi,No,118
EVT-00956,GA-2,STN-03,2025-08-11 12:12:48,303-PQR,56.0,81.8 C,OK,9BLB8MC6NZLS9A2B1,SUP-05,WO-2025163,T-103,probe,S1,3.65,53.2 psi,No,109
EVT-00957,GA-2,STN-05  ,2025-11-12 07:04,123-ABC,59.5,87.0C,None,06 EW5K0  3NXYSPG983,sup-09,WO-2025034,T-105,Camera,,4.81 kWh,42.4 PSI,No,111
EVT-00958, GA-1 ,  STN-02,12-08-2025 16:54:49,456 DEF,41.8,88.3 C,na,PY4LYTJ00A0EN5PSY,sup-11,WO-2025204,T-102,operator,,2.3,43.6,No,121
EVT-00959,  GA-2,  STN-03,07/10/2025 10:43:02,303-PQR,60.8,212.0F,None,BXZVHX0 JVF0M8 GDW 2,sup-02,WO-2025221,T-103,CAMERA,,2.91,45.2,No,108
EVT-00960, GA-2 ,  STN-03,2025/09/10 13:31:03,101-JKL,48.1,93.2C, OK,L14 2W1WR 5XU5EYK 2J,SUP-01,WO-2025094,T-103,camera,,4.42,34.1,No,115
EVT-00961,GA-1, STN-01 ,09-02-2025 10:51:19,303PQR,38.2 Nm,91.4 C,na,b6X0lpPGWwE 3V2F6t,SUP-09, WO-2025112 ,T-101,operator,,2.98,39.8 PSI,No,124
EVT-00962,GA-3,  STN-05,09-15-2025 07:32:31,101-JKL,49.3,186.1F,OK,2ZFT0F73344NLY 4FS,Sup-05,wo-2025116,T-105,Sensor,S3,4.0 kWh,51.8 psi,No,120
EVT-00963,GA-1,STN-07,2025-08-19 08:12,123-ABC,87.4,191.8F,None,VETJWW88D1G7T7RMZ,SUP-02,WO-2025130,T-107,CAMERA,S2,3.12,43.6,No,120
EVT-00964,GA-2, STN-05 ,2025/01/17 09:37:29,303-pqr,45.5 Nm,182.7F,None,56DESG8 81UB 9F ZZ9X,SUP-09,WO-2025139,t-105,operator,S3,4.19,37.7 psi,No,112
EVT-00965,GA-3  ,STN-03,03-05-2025 18:16:15,303-pqr,38.3,190.4F,OK,8U5EPA48SMPAT8RR4,Sup-01, WO-2025202 ,T-103,CAMERA,S3,3.37 kWh,34.5 PSI,No,118
EVT-00966,GA-2,STN-05,06-10-2025 06:45:52,789-ghi,38.1,82.3C,OK,V5SYASUT2 BNL KAT93,SUP-01,WO-2025218,T-105, vision ,S4,4.32 kWh,39.6 psi,No,113
EVT-00967,GA-1  , STN-02 ,07-17-2025 15:30:08,202-mno,49.5,174.0F,None,MZxF5SDZlX4s TXG4P,SUP-05,wo-2025129, T-102 ,Camera,,3.35,45.2 PSI,No,123
EVT-00968,  GA-3,STN-05  ,2025/12/17 05:15:31,202-MNO,39.4,59.7C,na,TEY9BPBCC12T89D85,SUP-02,WO-2025063,t-105,Camera,S2,4.93 kWh,45.3 PSI,No,118
EVT-00969,GA-3,  STN-05,04/07/2025 09:13:10,202-MNO,45.5 Nm,88.3 C,None,CSPZT7CC XCKXVL9U  R,SUP-01,WO-2025004,T-105,camera,S4,4.29 kWh,47.6 PSI,No,116
EVT-00970,GA-3,  STN-07,2025-03-20 17:47:14,101-JKL,58.4,84.3 C,None,TVSD86D WD W ZMUGTHV,SUP-01,WO-2025207,T-107,Sensor,S2,3.08,34.8 psi,No,114
EVT-00971,GA-1  , STN-02 ,19/06/2025 08:59:41,303-PQR,40.0,80.3 C,na,8SJ0K4C9YBPNSY0C4,SUP-05,WO-2025009,T-102,probe,S4,2.72 kWh,41.9 psi,No,121
EVT-00972,GA-2  ,STN-07,09-18-2025 09:18:45,789-ghi,46.3,193.3F,None,E 2ZB M0RtcURN8Z954,Sup-05, WO-2025089 ,T-107, vision ,,3.75 kWh,32.0 PSI,No,105
EVT-00973, GA-1 , STN-02 ,2025-08-17 19:57:55,123ABC,53.2,215.1F,None,5BLx 4n9hAY GE7 3BZn,Sup-11,WO-2025156,T-102,sensor,S2,2.63 kWh,45.0 PSI,No,122
EVT-00974,GA-2  ,STN-02  ,24/07/2025 10:05:42,303 PQR,44.8,79.7C,None,DRWJUVX9P GVVFVS9W,SUP-05,WO-2025017,T-102,probe,S4,2.59 kWh,42.1 PSI,No,105
EVT-00975,GA-3,STN-05  ,2025-09-24 10:31:03,303PQR,63.7,179.6F, None,s4fHvrSkrMN8YC 6 19,Sup-01,WO-2025093,T-105,Manual,S4,5.38 kWh,20.4 psi,N,112
EVT-00976,  GA-2,  STN-09,05-10-2025 13:24:07,123-ABC,58.2 Nm,100.3C,None,T5RZZ0 5 ZMHU7373 3B,SUP-11,WO-2025067,T-109,sensor,S1,2.4,34.9 PSI,No,106
EVT-00977,GA-3, STN-01 ,24-11-2025 19:01:26,101-JKL,60.9,91.9 C, None,9A43Y44YVEDSJ5P0C,SUP-09,WO-2025088,T-101,Sensor,S1,2.18,39.1 psi,No,113
EVT-00978, GA-3 ,  STN-01,2025-09-11 15:47:00,456-def,84.7 Nm,211.8F,None,000  Y6B2KL wHN4p0PD,sup-09,WO-2025126,T-101, SENSOR ,,2.74,33.8,No,112
EVT-00979, GA-3 ,  STN-05,05-06-2025 11:44:14,303PQR,50.9,97.4C,OK,L53M30 KN3RDN68 B NH,sup-02,WO-2025198,T-105,probe,S1,4.75 kWh,34.4,No,120
EVT-00980,GA-1, STN-02 ,2025/12/09 09:55:49,303-PQR,53.4,206.4F,None,99 E77LV 8DL6026PPR,Sup-09,WO-2025020,T102,sensor,,2.67 kWh,49.0 PSI,No,121
EVT-00981,GA-3,STN-07,15/09/2025 07:36:41,101-JKL,44.8,98.3 C,None,2ZFT0F73344NLY4FS,sup-05,WO-2025116,T-107,Camera,S2,3.06 kWh,47.0 PSI,No,113
EVT-00982,  GA-1,STN-02  ,05-08-2025 10:99:24,789-ghi,50.8,94.6 C,None,YN9VYEJN JD5ULPC8D,SUP-02,WO 2025061,T-102,sensor,,3.29 kWh,36.9 psi,No,116
EVT-00983,GA-2  ,STN-01,23-06-2025 11:47:47,789-GHI,56.0,181.9F,None,SWGY P235X5EM4431S,SUP-09,WO-2025233,T-101,manual,S4,3.03,34.0 psi,No,105
EVT-00984,GA-3,STN-09,2025-05-02 09:58,456-DEF,84.2 Nm,185.2F,OK,5UC52UJ92HEWZS0VL,sup-02,WO-2025187,T-109,manual,S2,2.96 kWh,53.1,No,120
EVT-00985,GA-3  ,STN-01,16/03/2025 10:08:17,456 DEF,54.0,213.1F,na,8374WBEHD NP9GZTK0,Sup-09,WO-2025259,T-101,Camera,,3.03,45.1 PSI,No,117
EVT-00986,  GA-2,  STN-09,2025-08-11 05:49,202-MNO,54.5,197.8F,None,6ArZY5L4PEu TUB0b7,Sup-11,WO-2025031,T-109,CAMERA,S3,3.09,51.7 PSI,No,111
EVT-00987,GA-1  ,STN-05,2025-08-04 17:52:24,456 DEF,55.9 Nm,87.6 C,None,ZKBB6ZE  VYCYNA CA2K,SUP-09,WO 2025101,T-105,Sensor,S1,5.63,36.0 PSI,No,123
EVT-00988,  GA-3, STN-05 ,23/08/2025 08:18:13,456-DEF,53.3 Nm,81.3 C,na,JN6MZ7W0V88GLNHA3,SUP-02,WO-2025213,T-105, SENSOR ,,4.06 kWh,62.2,No,113
EVT-00989,GA-2,STN-05,2025-09-05 18:23:11,789-GHI,52.3,201.4F,None,8L5KBUT6GTC3GLD3U,Sup-05,WO-2025279,T-105, SENSOR ,S2,3.65,39.2 psi,No,113
EVT-00990,  GA-1,STN-03  ,03-01-2025 17:19:30,456-DEF,43.3 Nm,78.3C,OK,P1JPCE47TT8J9VA25,sup-01,WO-2025143,T-103, MANUAL ,,4.08 kWh,35.2 psi,No,116
EVT-00991,GA-2,STN-01,19/02/2025 12:34:21,456-DEF,87.7,192.0F,None,WGNX7N5ZCHZWPSCTX,SUP-01,wo-2025268,t-101,operator,S3,2.05,51.2 PSI,No,107
EVT-00992, GA-2 ,STN-01  ,18-05-2025 12:15:24,202-mno,43.0,83.0 C,None,U2 0NH2MKTLP87v SGD,SUP-01,WO-2025220,T-101, SENSOR ,,3.49 kWh,51.4 PSI,No,114
EVT-00993, GA-1 ,STN-09,2025/06/06 14:58:39,456-DEF,78.2,85.3 C,None,A GN3BHB LEDJF19ND3,SUP-01,WO 2025203,T-109,operator,S4,3.15 kWh,39.5,No,124
EVT-00994,GA-2, STN-09 ,2025-11-02 10:23,303-PQR,50.0,190.4F,Repair,6X62JY3L1BN00JWUH,SUP-05,WO 2025155,t-109,probe,,1.95 kWh,53.2 PSI,No,109
EVT-00995,GA-1, STN-01 ,09-14-2025 19:12:08,101-JKL,63.6,213.1F,None,YH S HmyFB7C10ZTR J4,SUP-05,WO 2025230, T-101 ,camera,,3.25 kWh,50.6,No,118
EVT-00996,  GA-3, STN-05 ,2025-03-05 18:35:00,303-PQR,55.9,100.0 C,OK,8U5EPA48SMPAT8 RR4,SUP-01,WO-2025202,T-105, MANUAL ,S1,4.72 kWh,46.1 PSI,No,118
EVT-00997,GA-2,STN-09,24-02-2025 15:99:30,456-def,56.5,101.2 C,None,6pSNf  C4z0TpXRHFBV,sup-05,WO-2025191,t-109, MANUAL ,,2.52,36.8,No,115
EVT-00998,  GA-2,STN-07  ,2025/07/19 07:36:28,202-MNO,46.0,94.4 C,None,9B7NYZW B04 GJHJJ 41,sup-02,WO-2025142,T-107,sensor,S2,2.92,45.9 psi,No,107
EVT-00999,GA-2,STN-01  ,2025-02-07 13:47:05,303PQR,40.5,92.7C,None,BUJRKB4PRDBRFMM6G,SUP-05,WO-2025174,T-101,Camera,S2,2.31 kWh,51.9 psi,No,113
EVT-01000,  GA-1,  STN-07,2025-03-18 17:30,123-ABC,22.8 Nm,84.7C,OK,HCDBRV4D4NHW23DK0,SUP-09,WO-2025183,T-107,Manual,S3,3.24 kWh,33.8,YES,115
EVT-01001,GA-1  ,STN-05  ,08-13-2025 11:01:21,123-abc,48.6,90.0C,OK,AAHWX958YKKS6Y5LD,SUP-11,WO-2025118,t-105,CAMERA,S4,5.77,50.1 psi,YES,118
EVT-01002,GA-2,STN-07,25-06-2025 15:04:40,202-MNO,63.8,58.9C,None,0M4HY5ZCTHZSNTM32,Sup-05,WO-2025040,T-107, SENSOR ,,2.58,47.1 PSI,No,113
EVT-01003,GA-3,STN-09,2025/06/02 05:55:59,789-GHI,61.9,96.2C,None,TE0TDZYZVS5TNT9XM,sup-02,WO-2025026,T-109,operator,S3,2.24 kWh,38.0 psi,No,117
EVT-01004, GA-1 ,STN-02  ,2025-09-14 19:18:25,101-jkl,21.6,147.0F,None,YHSHMY FB7C10ZTR J4,sup-05, WO-2025230 ,T-102,operator,S1,2.91,46.9 psi,No,120
EVT-01005, GA-3 ,STN-05  ,20-03-2025 20:07:38,789-GHI,54.2,101.1 C,OK,W2XBA3FHRU4KMJ1LK,sup-02,WO-2025265,T-105,Sensor,S2,5.49 kWh,62.6 PSI,No,119
EVT-01006,GA-1  ,STN-02,12-10-2025 06:36:24,123 ABC,51.8 Nm,100.6 C, None,HLKL8W J62VZ JAWF 71,sup-01,WO-2025178,T-102,manual,S2,3.16 kWh,45.9,No,125
EVT-01007, GA-2 ,  STN-05,2025-02-02 20:27,202-mno,38.1,190.0F,Reject,d4sX L67c7hR5NN5 GC,SUP-01, WO-2025097 , T-105 ,camera,S2,4.42,52.6 PSI,No,110
EVT-01008,GA-2,STN-05  ,2025/03/01 17:86:50,303-PQR,57.4,210.2F,None,7LP7DFJCP1VLZ2YGR,SUP-09,WO-2025027,T-105, MANUAL ,S3,5.79,52.3,No,105
EVT-01009,GA-2,  STN-07,2025-04-05 05:54,303-PQR,38.6,202.1F,None,PPZ23CM5AFR71S2PA,SUP-11,WO-2025113,T-107, MANUAL ,S3,3.2 kWh,52.9 PSI,No,108
EVT-01010,GA-1  , STN-02 ,2025-04-16 15:24,123-ABC,56.8,208.0F,None,BDX57FKRT1DYM E5RP,sup-11,WO-2025029,T-102,probe,S3,2.75 kWh,51.4 psi,No,121
EVT-01011, GA-2 ,  STN-07,24/08/2025 08:24:17,123-abc,48.1,82.1C, OK,Y8S4MV61CU9SB63K7,sup-05,WO-2025124,T-107, vision ,S4,3.62 kWh,33.9,No,115
EVT-01012,  GA-1,STN-02  ,2025-11-10 20:51,202MNO,44.1,88.1C, OK,Hs u67f2GERZ8lBKzZ,sup-01,WO 2025160,T-102,Sensor,,2.37,47.2 psi,No,124
EVT-01013,GA-3,STN-03,2025-09-04 12:56:02,123-ABC,26.2 Nm,97.8C, Repair,PYLMZSU8CG90MY7AB,SUP-11,WO-2025189,T-103,probe,,3.14,38.8 PSI,No,112
EVT-01014,GA-2  , STN-03 ,17/01/2025 11:15:44,123 ABC,43.7,195.1F,None,ASZS4DE1AVBK76NUC,Sup-01,WO-2025281,T-103,sensor,,2.89,43.1 psi,No,111
EVT-01015,GA-2,STN-07,2025-05-10 13:20:19,123-ABC,57.1 Nm,203.4F,None,T5RZZ05ZMHU73733B,SUP-11,WO-2025067,T-107,operator,S4,2.43,42.0 psi,No,111
EVT-01016,GA-2,STN-03,06-09-2025 13:13:45,202-MNO,62.9,101.3 C,None,N42XC7LLCE0XJUY3E,SUP-02,WO-2025241,T-103,CAMERA,,3.88,52.1,No,112
EVT-01017, GA-2 ,  STN-02,2025-11-10 20:35:45,202-MNO,50.9,97.3C,None,FBNG Z6XMCX1 EG 0WTC,sup-02,wo-2025023,T-102,Sensor,,2.3 kWh,41.1,No,107
EVT-01018,  GA-2,  STN-05,16-09-2025 13:09:36,303-PQR,60.7,97.0 C,None,KA2 DLVBLLE4A3F 77T,SUP-09,WO-2025078,T-105,Camera,S1,4.6,38.7 psi,Yes,108
EVT-01019,GA-3,STN-01,09-08-2025 06:17:47,123-ABC,43.5,190.0F,None,Z9M0E9XZ5XCA14DA0,sup-09,WO-2025167,T-101, vision ,S1,2.34 kWh,36.5,No,120
EVT-01020,  GA-2,STN-07,2025/02/02 16:54:53,101-JKL,46.3,174.6F,na,VRWK8T 6DDK DENU3DT,SUP-02,WO-2025262,T-107,sensor,,4.0,46.9 psi,No,107
EVT-01021,GA-1, STN-03 ,2025-07-01 10:34:12,789 GHI,45.9 Nm,180.1F,None,RNf4JC 1KUHBtMRRNt,sup-05,WO 2025032, T-103 ,Sensor,S2,4.09 kWh,32.2 psi,No,121
EVT-01022,  GA-1, STN-05 ,09-12-2025 21:02:34,303-PQR,43.6,210.9F,None,A D1CGA6 5U CXBAKPCZ,Sup-02,WO-2025144, T-105 , vision ,S2,4.23,37.5,No,121
EVT-01023, GA-1 ,STN-09,12/10/2025 07:02:16,123-abc,50.8,185.4F,None,hLKL 8WJ62VzJAwF7 1,SUP-01,WO-2025178,T-109,camera,S3,2.28 kWh,46.0,No,120
EVT-01024, GA-2 ,STN-03,12-23-2025 16:05:46,123 ABC,78.0,205.5F,na,6C914 5W VVRl VyV3zE,Sup-02,WO 2025049,t-103,camera,S1,3.59,40.4 psi,No,107
EVT-01025,GA-1,STN-05  ,2025-06-17 19:43:22,123-ABC,57.8 Nm,81.3C,None,6PEM9 NNC8ZCH08P3L,SUP-09,WO-2025091,T-105,camera,,5.45 kWh,40.6 PSI,No,124
EVT-01026,GA-3,STN-01,2025-03-22 17:17:31,789-GHI,61.0,97.3 C,None,WHN848AW3G61993A9,Sup-09,WO-2025085,T-101,operator,S4,2.06 kWh,52.7 PSI,No,113
EVT-01027,GA-1,STN-01,2025/12/05 16:47:51,789-GHI,44.5,91.8 C,None,J8J7KVEKAUK11RJD8,SUP-05,WO-2025243,T-101, vision ,,2.79,36.4 PSI,No,120
EVT-01028,GA-2,STN-01,2025-11-05 08:19,303-PQR,47.3 Nm,82.8C,OK,E53K31VWDJH2PAGNP,Sup-11,WO-2025028,T-101, vision ,S2,2.9,49.8,No,115
EVT-01029,GA-1,STN-05,11-20-2025 20:55:51,123-ABC,44.8,50.7 C,OK,PGJV68PETR180TBAE,SUP-02,WO-2025254,T-105,operator,S4,5.75 kWh,50.7 PSI,No,123
EVT-01030,GA-3  ,  STN-09,14-02-2025 08:09:02,456-def,58.5,66.5 C, OK,MZTW772K62FR0SX2G,Sup-02,wo-2025201,T-109,sensor,S2,2.1,44.5,No,113
EVT-01031,  GA-3,STN-05,05-17-2025 19:29:37,123-ABC,42.9,186.3F,None,fMd23v F30j496ET J8,Sup-11,WO-2025195, T-105 ,Manual,S4,4.79,45.2 PSI,No,115
EVT-01032,  GA-3, STN-01 ,08-21-2025 16:54:04,303-PQR,60.2,96.3 C,None,T WJ PRX6DUK7N8LA21,sup-09,WO-2025011,T101,Manual,S3,2.45 kWh,39.9 psi,No,120
EVT-01033, GA-1 ,STN-03  ,2025/01/09 08:28:37,123-abc,59.2 Nm,80.9C,OK,CE 62WNX65B4eZS 2U4,SUP-09,WO-2025041,T-103,camera,S4,3.96 kWh,45.3 psi,No,123
EVT-01034,GA-1,STN-05,2025-03-22 17:17,123-ABC,45.4,93.5C,None,3AA2S0XZM74ZXCMHD,Sup-11,WO-2025209,T-105, vision ,S1,4.65,43.3,No,116
EVT-01035,GA-3, STN-09 ,2025/11/04 11:30:19,456-def,46.5,115.5 C,Repair,KEL 05UP 0N32UC4U4Y,sup-09,WO-2025035,T-109,Manual,,2.12 kWh,40.0 psi,No,117
EVT-01036, GA-3 , STN-02 ,01-11-2025 15:31:44,101-JKL,48.2 Nm,84.4 C,None,F6C8NNL  KNXV9ZYZ12,sup-05,WO-2025176,T102,probe,S1,3.36,48.7,No,114
EVT-01037, GA-1 ,STN-05  ,08-09-2025 11:99:51,789-ghi,54.5,101.8C,None,0N0S8  gbjxAWLfDJzv,Sup-01, WO-2025182 ,T-105,Sensor,,4.34 kWh,43.2,No,123
EVT-01038,GA-2  ,STN-07  ,23/12/2025 16:80:08,123-abc,41.6,116.0C,None,6C9145wvVRLVYV 3Ze,sup-02,WO-2025049,T107,Sensor,,2.56 kWh,34.0 psi,No,112
EVT-01039,GA-1,  STN-05,04-08-2025 18:04:16,456-DEF,62.6,86.4C,OK,ZKBB6ZEVYCYNACA2K,sup-09,WO-2025101,T-105,Sensor,,3.87,32.3,No,125
EVT-01040,GA-3  ,  STN-07,2025-10-05 21:08,456-def,45.6,92.8 C,None,WSCGH8A7B2BB72PDB,Sup-09,WO-2025114,T-107,operator,S2,3.31 kWh,38.0 PSI,No,119
EVT-01041,GA-2  ,STN-05  ,08-12-2025 07:29:46,123-ABC,38.9 Nm,80.5C,None,K8RRER707D6TCEKZ8,SUP-02, WO-2025044 ,t-105, MANUAL ,S3,3.87 kWh,34.9,No,106
EVT-01042,GA-1,STN-02,04-08-2025 17:43:55,456-DEF,54.2 Nm,79.2C,None,ZKBB6ZEVYCYNACA2K,sup-09,WO-2025101,T-102,probe,S1,2.88,40.7,No,115
EVT-01043, GA-3 ,STN-07  ,2025-08-07 15:99,456-DEF,57.0,98.1C,Reject,GVG81JX0 GPWS2WNR6,Sup-02,WO-2025235,T-107,Manual,s2,2.41,34.0,No,120
EVT-01044,  GA-1,STN-09  ,2025-06-07 19:58,101 JKL,44.5,80.3 C, OK,VG8BB4DXVPCKWLYUH,Sup-05,WO-2025247,T-109,Camera,,2.56 kWh,42.8 psi,No,117
EVT-01045,  GA-3,STN-09  ,2025-06-10 09:85,789GHI,25.1,82.6 C,None,3VYTUL7FFFR2GX3KV,Sup-01, WO-2025249 , T-109 ,sensor,,2.15 kWh,51.3 psi,No,118
EVT-01046,GA-3,STN-05  ,2025/03/16 13:26:20,303PQR,83.0 Nm,95.0 C,None,9RXS7F139FY2RA J EG,sup-02,WO-2025271,t-105,camera,S1,5.33,43.5,N,116
EVT-01047,GA-2,STN-01,02-12-2025 18:02:31,101-JKL,59.0,95.3C,OK,WP6E0N8Z4YBBM0J33,SUP-02,WO-2025069,T-101,CAMERA,,2.44,52.4,No,114
EVT-01048, GA-1 ,STN-03,11-05-2025 12:58:36,202 MNO,42.8 Nm,89.5 C,None,YA pTRM6SFFUYX72S4,sup-11,WO-2025002,T-103,Manual,,3.79,67.5 psi,No,119
EVT-01049,  GA-2,STN-09  ,03-06-2025 16:32:46,101-jkl,56.4,65.0 C,na,A7RGZYV66XKZZK9WJ,sup-05,WO-2025223,T-109,Manual,S4,2.32,52.3 PSI,No,106
EVT-01050,GA-2  , STN-02 ,12-23-2025 15:59:30,123-ABC,52.7,195.4F,Reject,6C9145WVVRLVYV3ZE,SUP-02,WO-2025049,T-102,Sensor,S1,3.43 kWh,42.2,Yes,107
EVT-01051,GA-3  ,STN-09,2025/12/17 05:17:26,202-MNO,41.7,187.2F,None,TEY9BPBCC12T89D85,sup-02,WO-2025063,T-109,Sensor,S1,2.73,40.4 PSI,No,120
EVT-01052,GA-2  ,STN-07  ,2025-01-18 09:23,789-ghi,50.6 Nm,94.1 C,None,5FgBV63JH 2 n0A5Zd3,SUP-01,WO-2025236,T-107,probe,,3.11 kWh,38.8 psi,No,115
EVT-01053,GA-1,  STN-07,02/10/2025 11:37:14,789 GHI,52.4,176.0F,OK,E6JDW0LTG5CTPAA0D,Sup-05,WO-2025292,T-107,Manual,,3.3,52.8 psi,No,122
EVT-01054,GA-1  ,STN-01,09-01-2025 08:21:38,123-ABC,39.4,95.8C,None,CE62W NX65  B4EZS2U4,SUP-09,WO-2025041,T-101,manual,,2.0,37.4 psi,No,123
EVT-01055, GA-1 , STN-03 ,2025-10-02 11:25:31,789GHI,51.5,97.6C,na,E6JDW0LTG5CTPAA 0D,SUP-05,WO-2025292,T-103,CAMERA,,3.61,50.6 PSI,No,120
EVT-01056,GA-2  , STN-09 ,2025-10-21 13:04,123-abc,49.2,176.9F,None,FLLDMGLXY5WDUUMF2,sup-01,WO-2025295,T-109,operator,S3,3.05 kWh,52.5 psi,No,107
EVT-01057,GA-2  , STN-07 ,16/07/2025 20:29:52,456DEF,45.4,81.8C,OK,FA3C7 C8AYHPU5KXW T,sup-02,wo-2025264,T107,Manual,,2.62 kWh,34.2,No,110
EVT-01058,GA-3,  STN-01,2025-10-04 16:46,123ABC,49.9,211.5F,None,RSB5SBWNRZ2AJKPRK,Sup-09, WO-2025047 ,T-101,manual,S1,2.77,46.0 PSI,No,110
EVT-01059,GA-2, STN-02 ,08-10-2025 09:72:42,202-mno,62.7,214.0F,OK,JU5YJPLZK4XX8PTV7,Sup-02,WO-2025251,T102,probe,S4,3.79 kWh,37.0,No,113
EVT-01060, GA-3 ,  STN-09,2025-01-14 18:52,B0GUS-01,60.8,173.1F,OK,G0S3 SJEP0CFZMDM3T,SUP-11,WO-ERR-0001,T-109,manual,,2.33,23.5 PSI,No,115
EVT-01061,GA-2,STN-07,2025/07/13 05:43:36,101-JKL,40.0,82.5C,None,RPLNDA0C1B4MTKZXK,SUP-09,WO-2025016,T-107,Sensor,S1,3.7,42.5 psi,No,115
EVT-01062,GA-2  ,  STN-02,20/01/2025 16:11:43,101 JKL,50.5,92.7C,None,B6VAXZ0X7X34446PP,Sup-02,WO-2025212,t-102,camera,S4,2.67 kWh,46.3,No,113
EVT-01063,GA-2,  STN-03,25-11-2025 20:44:34,202-mno,59.9,200.1F,None,XZD VKRVXZV JPCEW7H,Sup-09,WO-2025171,T-103,operator,S4,3.64,38.1 psi,No,112
EVT-01064,  GA-2, STN-01 ,08-04-2025 12:17:29,101JKL,49.6,100.5C,OK,RYL6SRHY3TBSB3UG1,SUP-11,WO-2025216,T-101,manual,S1,3.49,37.5 psi,No,113
EVT-01065, GA-2 , STN-09 ,06-10-2025 17:01:54,101-JKL,54.1,79.8 C, na,0Z F3EX5JH5WEANT5 U,Sup-09,WO-2025048,T-109,Camera,,3.18 kWh,64.8 PSI,No,106
EVT-01066, GA-2 ,STN-05,11/06/2025 21:24:35,456-def,52.6 Nm,91.2C,None,BM3hYZ jC KV 2DLPV84,Sup-09,WO-2025021,T105,operator,,5.11 kWh,52.8 psi,No,114
EVT-01067,GA-2,STN-03,18/09/2025 09:13:59,789-GHI,38.8,174.6F,None,E2ZBM0RTCURN8Z954,Sup-05,WO-2025089,T-103,Camera,S4,3.91,38.7,No,105
EVT-01068,GA-1,STN-09,2025/02/25 10:42:09,101-JKL,41.8,100.4 C,Repair,ZDNGRP56BZJP7C6RW,SUP-05,WO-2025226,T-109,manual,S2,2.31,42.0,No,122
EVT-01069, GA-2 ,  STN-03,10/12/2025 21:02:05,456 DEF,53.7,84.2 C,None,09LFER95K  4AXLAT1X,SUP-09,WO-2025083,T103,manual,S2,3.06,22.0 PSI,No,109
EVT-01070,GA-2  ,STN-09,2025-08-14 17:38,101-jkl,59.7,100.3C,None,TB7Y6U XU89CUGK8RD,SUP-02,WO-2025132,t-109,sensor,,2.36,42.8 psi,No,107
EVT-01071, GA-2 ,STN-02  ,05-25-2025 10:24:04,456-def,54.8,99.2C,Repair,BVY577KEPB6R4EKE5,SUP-01,WO-2025161,T-102,CAMERA,S4,2.59,32.3 PSI,No,105
EVT-01072, GA-3 ,  STN-02,03-14-2025 05:54:27,303-PQR,55.3,89.8C,None,7NAT8NNWN5S6LE8GD,SUP-02,WO 2025134,T102,Sensor,,2.37 kWh,46.4,No,116
EVT-01073, GA-2 ,STN-07  ,2025-08-06 20:43,101-jkl,57.8,176.9F,na,Z0JS  PVS0WHTYVJW35,SUP-05,WO-2025165,T-107,Camera,S2,3.96 kWh,48.5 PSI,No,105
EVT-01074,GA-3,STN-07,08-07-2025 12:16:48,101-JKL,44.6,52.0 C,None,eU1UA0YWMpF0B lj3N,Sup-02,WO 2025180,T-107,sensor,,3.33,34.6,No,118
